model,p50_ms,p95_ms,K_mean
local_only,0.008538666666666667,0.012942716666666633,1.0
graph_no_residual,0.06040133333333327,0.09647646666666664,1.0
tent_like,0.04401533333333333,0.06796778333333324,1.0
proposed_no_scheduler,0.09326266666666666,0.13506949999999998,2.0
proposed_full,0.07251033333333333,0.1120189166666666,1.0
abl_no_residual,0.07262599999999997,0.10815801666666663,2.0
abl_no_graph,0.032624999999999994,0.04795115,1.0
abl_no_aggregation,0.07012600000000001,0.09881141666666664,1.3297777777777777
abl_frozen_scheduler,0.07145766666666666,0.10370518333333327,1.0
abl_flat_latent,0.036686166666666666,0.052866166666666665,1.0
