model,acc_reg1,acc_reg2,acc_reg3,acc_reg4
local_only,0.6099166671435038,0.5859333475430807,0.6628889044125875,0.637333333492279
graph_no_residual,0.8115833401679993,0.7244666616121928,0.7392222086588541,0.764555553595225
tent_like,0.6045000155766805,0.5613999863465627,0.600000003973643,0.5670000116030375
proposed_no_scheduler,0.7840833266576132,0.6989999810854594,0.7485555410385132,0.7467777927716573
proposed_full,0.8293333450953165,0.7351999680201212,0.7347777684529623,0.7558889190355936
abl_no_residual,0.834166685740153,0.739466647307078,0.7735555768013,0.7776666680971781
abl_no_graph,0.5600833495457967,0.548466702302297,0.7243332862854004,0.6565555532773336
abl_no_aggregation,0.7859999934832255,0.7154666781425476,0.7031111121177673,0.7259999712308248
abl_frozen_scheduler,0.8342499931653341,0.7267333269119263,0.7564444740613302,0.7665555477142334
abl_flat_latent,0.5020833412806193,0.4943333367506663,0.4543333450953166,0.4467777907848358
