model,acc_mean,acc_std,acc_pre,acc_post,ece,ece_std,adapt_lag,adapt_lag_std,p50_ms,p95_ms,K_mean
local_only,0.8055833578109741,0.013270225692394605,0.9069791634877523,0.7379861076672872,0.13692318476488197,0.009134943209463339,8.333333333333334,11.150485789118488,0.007370833333333333,0.01140485,1.0
graph_no_residual,0.49566665291786194,0.01345148677945909,0.5043750007947286,0.4898611108462016,0.13136283175150554,0.04886203369552354,1.6666666666666667,2.8867513459481287,0.015305166666666667,0.02475405,1.0
tent_like,0.8036250074704488,0.013917172516507195,0.9063541889190674,0.7351388931274414,0.13056486168255407,0.010679879464411707,8.333333333333334,11.150485789118488,0.03950116666666667,0.060695199999999984,1.0
proposed_no_scheduler,0.5739583273728689,0.13942989676225442,0.6054166555404663,0.5529861052831014,0.10303303842494886,0.016854735411000875,3.0,5.196152422706632,0.030073666666666665,0.04679976666666666,1.0
proposed_full,0.49566665291786194,0.01345148677945909,0.5043750007947286,0.4898611108462016,0.13136283175150554,0.04886203369552354,1.6666666666666667,2.8867513459481287,0.04017316666666667,0.060041216666666654,2.0
abl_no_residual,0.49566665291786194,0.01345148677945909,0.5043750007947286,0.4898611108462016,0.13136283175150554,0.04886203369552354,1.6666666666666667,2.8867513459481287,0.021243666666666664,0.03480943333333333,1.0
abl_no_graph,0.7699583371480306,0.020316365690417035,0.8411458134651184,0.7224999864896139,0.09193841475248338,0.019524310153851466,1.6666666666666667,1.5275252316519468,0.025270833333333336,0.03741873333333333,1.0
abl_no_aggregation,0.49566665291786194,0.01345148677945909,0.5043750007947286,0.4898611108462016,0.13136283175150554,0.04886203369552354,1.6666666666666667,2.8867513459481287,0.029624333333333336,0.045809449999999995,2.0
abl_frozen_scheduler,0.5739583273728689,0.13942989676225442,0.6054166555404663,0.5529861052831014,0.10303303842494886,0.016854735411000875,3.0,5.196152422706632,0.036268833333333333,0.059276166666666665,1.0
abl_flat_latent,0.49566665291786194,0.01345148677945909,0.5043750007947286,0.4898611108462016,0.13136283175150554,0.04886203369552354,1.6666666666666667,2.8867513459481287,0.02915,0.04489538333333332,1.0
